,c,sigma,noise,algorithm,ari
0,45,0.45,0.175,Herm,0.5436172048352432
0,60,0.05,0.175,DiSim,0.17452839981823826
0,60,0.05,0.175,Herm,0.5089029245764553
0,60,0.25,0.175,DiSim,0.21603700243093377
0,60,0.25,0.175,Herm,0.4943628425648749
0,60,0.45,0.175,DiSim,0.2574373608852276
0,60,0.45,0.175,Herm,0.5695192117301793
0,30,0.05,0.26249999999999996,DiSim,0.20988096691206357
0,30,0.05,0.26249999999999996,Herm,0.40814412174736275
0,30,0.25,0.26249999999999996,DiSim,0.2021668945323113
0,30,0.25,0.26249999999999996,Herm,0.31658529315702194
0,30,0.45,0.26249999999999996,DiSim,0.19564676919569396
0,30,0.45,0.26249999999999996,Herm,0.26291448891731944
0,45,0.05,0.26249999999999996,DiSim,0.2029523059002822
0,45,0.05,0.26249999999999996,Herm,0.4631583881347552
0,45,0.25,0.26249999999999996,DiSim,0.17316042441578228
0,45,0.25,0.26249999999999996,Herm,0.38802728884168863
0,45,0.45,0.26249999999999996,DiSim,0.20286435818182552
0,45,0.45,0.26249999999999996,Herm,0.33486159419800754
0,60,0.05,0.26249999999999996,DiSim,0.17173220779236129
0,60,0.05,0.26249999999999996,Herm,0.4891764720167351
0,60,0.25,0.26249999999999996,DiSim,0.19041704714489308
0,60,0.25,0.26249999999999996,Herm,0.4012414391528101
0,60,0.45,0.26249999999999996,DiSim,0.21483492839049306
0,60,0.45,0.26249999999999996,Herm,0.3552787188504376
0,30,0.05,0.35,DiSim,0.180885961150688
0,30,0.05,0.35,Herm,0.23000360175444007
0,30,0.25,0.35,DiSim,0.13964078111580053
0,30,0.25,0.35,Herm,0.16455190927258048
0,30,0.45,0.35,DiSim,0.0935139638172077
0,30,0.45,0.35,Herm,0.1427252579031278
0,45,0.05,0.35,DiSim,0.15744884531250428
0,45,0.05,0.35,Herm,0.3195479035755672
0,45,0.25,0.35,DiSim,0.12708398902175658
0,45,0.25,0.35,Herm,0.2488342830224162
0,45,0.45,0.35,DiSim,0.18370713226417637
0,45,0.45,0.35,Herm,0.19932353865597344
0,60,0.05,0.35,DiSim,0.17367945586730213
0,60,0.05,0.35,Herm,0.3601852632385896
0,60,0.25,0.35,DiSim,0.16196860750578787
0,60,0.25,0.35,Herm,0.2654861154563812
0,60,0.45,0.35,DiSim,0.19001773547941947
0,60,0.45,0.35,Herm,0.2143764060749762
0,30,0.05,0.0,DiSim,0.32361040788084816
0,30,0.05,0.0,Herm,0.5081735792676678
0,30,0.25,0.0,DiSim,0.4412682564940536
0,30,0.25,0.0,Herm,0.4949815690342135
0,30,0.45,0.0,DiSim,0.5305934838544035
0,30,0.45,0.0,Herm,0.5674750460829255
0,45,0.05,0.0,DiSim,0.3618931856580152
0,45,0.05,0.0,Herm,0.5236978949030571
0,45,0.25,0.0,DiSim,0.44230381106441147
0,45,0.25,0.0,Herm,0.5074092810775586
0,45,0.45,0.0,DiSim,0.5883062822523903
0,45,0.45,0.0,Herm,0.6271284308596801
0,60,0.05,0.0,DiSim,0.38220550900672806
0,60,0.05,0.0,Herm,0.5293308153239369
0,60,0.25,0.0,DiSim,0.4533649317522361
0,60,0.25,0.0,Herm,0.5174950822998804
0,60,0.45,0.0,DiSim,0.6100195269147053
0,60,0.45,0.0,Herm,0.7276181173922126
0,30,0.05,0.0875,DiSim,0.2326015649847947
0,30,0.05,0.0875,Herm,0.48176314416051125
0,30,0.25,0.0875,DiSim,0.25577046377613544
0,30,0.25,0.0875,Herm,0.4655131347480525
0,30,0.45,0.0875,DiSim,0.2749622153541752
0,30,0.45,0.0875,Herm,0.5326782761439093
0,45,0.05,0.0875,DiSim,0.23000986089822817
0,45,0.05,0.0875,Herm,0.5097973889160817
0,45,0.25,0.0875,DiSim,0.27408885330194677
0,45,0.25,0.0875,Herm,0.5034061858992676
0,45,0.45,0.0875,DiSim,0.30187547888671085
0,45,0.45,0.0875,Herm,0.5954877056278408
0,60,0.05,0.0875,DiSim,0.18868649255955772
0,60,0.05,0.0875,Herm,0.5179318741293374
0,60,0.25,0.0875,DiSim,0.24156367626275296
0,60,0.25,0.0875,Herm,0.5096133082684245
0,60,0.45,0.0875,DiSim,0.33064126152719164
0,60,0.45,0.0875,Herm,0.5990646782366356
0,30,0.05,0.175,DiSim,0.21783414995066983
0,30,0.05,0.175,Herm,0.454690683751
0,30,0.25,0.175,DiSim,0.21622328255638407
0,30,0.25,0.175,Herm,0.4227423933472086
0,30,0.45,0.175,DiSim,0.2387372617910921
0,30,0.45,0.175,Herm,0.46991167042963006
0,45,0.05,0.175,DiSim,0.2165045373044662
0,45,0.05,0.175,Herm,0.49521964285355236
0,45,0.25,0.175,DiSim,0.2043002715075009
0,45,0.25,0.175,Herm,0.47548412223135894
0,45,0.45,0.175,DiSim,0.22500727700987389
0,45,0.45,0.175,Herm,0.5499009159084748
0,60,0.05,0.175,DiSim,0.17640006541355918
0,60,0.05,0.175,Herm,0.5131100234772948
0,60,0.25,0.175,DiSim,0.2106532078220378
0,60,0.25,0.175,Herm,0.49375752604769607
0,60,0.45,0.175,DiSim,0.2606429886179278
0,60,0.45,0.175,Herm,0.5580268130359661
0,30,0.05,0.26249999999999996,DiSim,0.22242664891216396
0,30,0.05,0.26249999999999996,Herm,0.39573955933604615
0,30,0.25,0.26249999999999996,DiSim,0.20663656371687414
0,30,0.25,0.26249999999999996,Herm,0.3104153872767652
0,30,0.45,0.26249999999999996,DiSim,0.19788147226074668
0,30,0.45,0.26249999999999996,Herm,0.2645675700622899
0,45,0.05,0.26249999999999996,DiSim,0.18946985331478428
0,45,0.05,0.26249999999999996,Herm,0.4670502046880127
