,c,sigma,noise,tau,algorithm,ari
0,20,0.25,0.0,1.25,DiSim,0.35066809549376043
0,20,0.25,0.0,1.25,Herm,0.3237238474274162
0,20,0.25,0.0,1.6,DiSim,0.35103827389561765
0,20,0.25,0.0,1.6,Herm,0.294407786552035
0,20,0.25,0.0,2,DiSim,0.35072191215485227
0,20,0.25,0.0,2,Herm,0.26035664753937554
0,20,0.25,0.0,3,DiSim,0.35059397297106737
0,20,0.25,0.0,3,Herm,0.20003710068384326
0,60,0.25,0.0,0.1,DiSim,0.48102267030256046
0,60,0.25,0.0,0.1,Herm,0.5155240811146469
0,60,0.25,0.0,0.4,DiSim,0.48102267030256046
0,60,0.25,0.0,0.4,Herm,0.504550299495384
0,60,0.25,0.0,0.75,DiSim,0.4810569076636873
0,60,0.25,0.0,0.75,Herm,0.4933730696227428
0,60,0.25,0.0,0.85,DiSim,0.48101229774834736
0,60,0.25,0.0,0.85,Herm,0.4894995457940083
0,60,0.25,0.0,1,DiSim,0.48102267030256046
0,60,0.25,0.0,1,Herm,0.4864532905547184
0,60,0.25,0.0,1.15,DiSim,0.4810569076636873
0,60,0.25,0.0,1.15,Herm,0.4843799813472321
0,60,0.25,0.0,1.25,DiSim,0.48101229774834736
0,60,0.25,0.0,1.25,Herm,0.48238154308965847
0,60,0.25,0.0,1.6,DiSim,0.4810465364368934
0,60,0.25,0.0,1.6,Herm,0.47496860748353764
0,60,0.25,0.0,2,DiSim,0.48102267030256046
0,60,0.25,0.0,2,Herm,0.4671580852451023
0,60,0.25,0.0,3,DiSim,0.48101229774834736
0,60,0.25,0.0,3,Herm,0.4515177952190496
0,20,0.25,0.15,0.1,DiSim,0.17412985231903985
0,20,0.25,0.15,0.1,Herm,0.34438291167434365
0,20,0.25,0.15,0.4,DiSim,0.17429615506528848
0,20,0.25,0.15,0.4,Herm,0.30510722376748495
0,20,0.25,0.15,0.75,DiSim,0.17413675035741152
0,20,0.25,0.15,0.75,Herm,0.2604005272962922
0,20,0.25,0.15,0.85,DiSim,0.17409570144164932
0,20,0.25,0.15,0.85,Herm,0.2474424738171937
0,20,0.25,0.15,1,DiSim,0.17398607052328494
0,20,0.25,0.15,1,Herm,0.23249385839571293
0,20,0.25,0.15,1.15,DiSim,0.17409570144164932
0,20,0.25,0.15,1.15,Herm,0.21397490670345015
0,20,0.25,0.15,1.25,DiSim,0.1741805150643988
0,20,0.25,0.15,1.25,Herm,0.20497278124805693
0,20,0.25,0.15,1.6,DiSim,0.17413401062531392
0,20,0.25,0.15,1.6,Herm,0.17351333204626715
0,20,0.25,0.15,2,DiSim,0.17422017291187383
0,20,0.25,0.15,2,Herm,0.15113656374625742
0,20,0.25,0.15,3,DiSim,0.17412849905627636
0,20,0.25,0.15,3,Herm,0.08762548536201437
0,60,0.25,0.15,0.1,DiSim,0.23477847865420562
0,60,0.25,0.15,0.1,Herm,0.4960509676617914
0,60,0.25,0.15,0.4,DiSim,0.23491757254995083
0,60,0.25,0.15,0.4,Herm,0.48138756675919914
0,60,0.25,0.15,0.75,DiSim,0.2346091729684212
0,60,0.25,0.15,0.75,Herm,0.46852966150060527
0,60,0.25,0.15,0.85,DiSim,0.2601999237839248
0,60,0.25,0.15,0.85,Herm,0.4651928253100774
0,60,0.25,0.15,1,DiSim,0.2347602752562945
0,60,0.25,0.15,1,Herm,0.4604810979747592
0,60,0.25,0.15,1.15,DiSim,0.23467631216563495
0,60,0.25,0.15,1.15,Herm,0.45533152119313824
0,60,0.25,0.15,1.25,DiSim,0.2601371041906775
0,60,0.25,0.15,1.25,Herm,0.4304293098447639
0,60,0.25,0.15,1.6,DiSim,0.2346878804585567
0,60,0.25,0.15,1.6,Herm,0.41559150745971024
0,60,0.25,0.15,2,DiSim,0.23473063246157191
0,60,0.25,0.15,2,Herm,0.4029266617343527
0,60,0.25,0.15,3,DiSim,0.2346748959356467
0,60,0.25,0.15,3,Herm,0.36055228212448764
0,20,0.25,0.0,0.1,DiSim,0.35323519510973395
0,20,0.25,0.0,0.1,Herm,0.43140800191572515
