,model,p,noise,algorithm,ari
0,DSBM_PA,0.004,0.0,DiSim,0.1642148127370403
0,DSBM_PA,0.004,0.0,Herm,0.504210398618214
0,DSBM,0.006,0.0,DiSim,0.9723222714610286
0,DSBM,0.006,0.0,Herm,0.9998749906230465
0,DSBM_PA,0.006,0.0,DiSim,0.3037014564906528
0,DSBM_PA,0.006,0.0,Herm,0.5397141721168978
0,DSBM,0.008,0.0,DiSim,0.9899326555343674
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.32151594998494437
0,DSBM_PA,0.008,0.0,Herm,0.5474762152951923
0,DSBM,0.002,0.0875,DiSim,0.2687181346782152
0,DSBM,0.002,0.0875,Herm,0.9202577332919807
0,DSBM_PA,0.002,0.0875,DiSim,0.0033681538138040953
0,DSBM_PA,0.002,0.0875,Herm,0.18714630000748125
0,DSBM,0.004,0.0875,DiSim,0.3783602505231483
0,DSBM,0.004,0.0875,Herm,0.9892397809224229
0,DSBM_PA,0.004,0.0875,DiSim,0.06074617834618843
0,DSBM_PA,0.004,0.0875,Herm,0.34659199414381514
0,DSBM,0.006,0.0875,DiSim,0.4854743360087526
0,DSBM,0.006,0.0875,Herm,0.9976301668346488
0,DSBM_PA,0.006,0.0875,DiSim,0.10233541454750586
0,DSBM_PA,0.006,0.0875,Herm,0.400078155866972
0,DSBM,0.008,0.0875,DiSim,0.6479696406296434
0,DSBM,0.008,0.0875,Herm,0.9995001500250063
0,DSBM_PA,0.008,0.0875,DiSim,0.11601876033514853
0,DSBM_PA,0.008,0.0875,Herm,0.4729637542288815
0,DSBM,0.002,0.175,DiSim,0.16185271071275523
0,DSBM,0.002,0.175,Herm,0.7413352015800355
0,DSBM_PA,0.002,0.175,DiSim,0.0011759662916204492
0,DSBM_PA,0.002,0.175,Herm,0.0013344139805236124
0,DSBM,0.004,0.175,DiSim,0.32103425743066366
0,DSBM,0.004,0.175,Herm,0.952139788354718
0,DSBM_PA,0.004,0.175,DiSim,0.0004895845187777363
0,DSBM_PA,0.004,0.175,Herm,0.0019481722856664865
0,DSBM,0.006,0.175,DiSim,0.3986964766710213
0,DSBM,0.006,0.175,Herm,0.9854486857975008
0,DSBM_PA,0.006,0.175,DiSim,0.0005362829858286672
0,DSBM_PA,0.006,0.175,Herm,0.0018676586242057087
0,DSBM,0.008,0.175,DiSim,0.42545572463364933
0,DSBM,0.008,0.175,Herm,0.9955193539940367
0,DSBM_PA,0.008,0.175,DiSim,0.0011439686942145606
0,DSBM_PA,0.008,0.175,Herm,0.001548894420115545
0,DSBM,0.002,0.26249999999999996,DiSim,0.0046177631290385554
0,DSBM,0.002,0.26249999999999996,Herm,0.2322685176251509
0,DSBM_PA,0.002,0.26249999999999996,DiSim,0.0001336891899293432
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.0007558697643440939
0,DSBM,0.004,0.26249999999999996,DiSim,0.17647156670027284
0,DSBM,0.004,0.26249999999999996,Herm,0.7663463066854868
0,DSBM_PA,0.004,0.26249999999999996,DiSim,3.081183653396061e-05
0,DSBM_PA,0.004,0.26249999999999996,Herm,0.0004167593926778025
0,DSBM,0.006,0.26249999999999996,DiSim,0.29883378137203365
0,DSBM,0.006,0.26249999999999996,Herm,0.9102249074050998
0,DSBM_PA,0.006,0.26249999999999996,DiSim,3.897090082342193e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,0.000683003875341876
0,DSBM,0.008,0.26249999999999996,DiSim,0.3620802245384753
0,DSBM,0.008,0.26249999999999996,Herm,0.9567285209962247
0,DSBM_PA,0.008,0.26249999999999996,DiSim,0.00012825463314875804
0,DSBM_PA,0.008,0.26249999999999996,Herm,0.0006139374632190903
0,DSBM,0.002,0.35,DiSim,0.00011911428034910841
0,DSBM,0.002,0.35,Herm,0.0019219299704032575
