,model,average_edge_probability,percentage_intra_edges,algorithm,ari
0,DSBM,0.0045,0.6000000000000001,DiSim,1.0
0,DSBM,0.0045,0.6000000000000001,Herm,0.9457995512760553
0,DSBM_PA,0.0045,0.6000000000000001,DiSim,0.39192853449800646
0,DSBM_PA,0.0045,0.6000000000000001,Herm,0.14631691247079753
0,DSBM,0.0045,0.7000000000000001,DiSim,1.0
0,DSBM,0.0045,0.7000000000000001,Herm,0.837809122750357
0,DSBM_PA,0.0045,0.7000000000000001,DiSim,0.41864852840021544
0,DSBM_PA,0.0045,0.7000000000000001,Herm,0.15429832467645319
0,DSBM,0.0045,0.8,DiSim,1.0
0,DSBM,0.0045,0.8,Herm,0.30830615826237323
0,DSBM_PA,0.0045,0.8,DiSim,0.6063333904977465
0,DSBM_PA,0.0045,0.8,Herm,0.16194052551715968
0,DSBM,0.0045,0.9,DiSim,1.0
0,DSBM,0.0045,0.9,Herm,0.012872846854793694
0,DSBM_PA,0.0045,0.9,DiSim,0.6241655983631679
0,DSBM_PA,0.0045,0.9,Herm,0.13826594329844774
0,DSBM,0.0045,0.0,DiSim,0.9991250907082224
0,DSBM,0.0045,0.0,Herm,1.0
0,DSBM_PA,0.0045,0.0,DiSim,0.5623683539636999
0,DSBM_PA,0.0045,0.0,Herm,0.49282921730753676
0,DSBM,0.0045,0.1,DiSim,0.9471674433779937
0,DSBM,0.0045,0.1,Herm,1.0
0,DSBM_PA,0.0045,0.1,DiSim,0.3967143016511574
0,DSBM_PA,0.0045,0.1,Herm,0.4495175600787504
0,DSBM,0.0045,0.2,DiSim,0.91637786743518
0,DSBM,0.0045,0.2,Herm,1.0
0,DSBM_PA,0.0045,0.2,DiSim,0.39991694815068873
0,DSBM_PA,0.0045,0.2,Herm,0.4018332728003892
0,DSBM,0.0045,0.30000000000000004,DiSim,0.9971303500419283
0,DSBM,0.0045,0.30000000000000004,Herm,1.0
0,DSBM_PA,0.0045,0.30000000000000004,DiSim,0.33453847497059375
0,DSBM_PA,0.0045,0.30000000000000004,Herm,0.37444609181214483
0,DSBM,0.0045,0.4,DiSim,1.0
0,DSBM,0.0045,0.4,Herm,1.0
0,DSBM_PA,0.0045,0.4,DiSim,0.3204809194566054
0,DSBM_PA,0.0045,0.4,Herm,0.32129976179852293
0,DSBM,0.0045,0.5,DiSim,1.0
0,DSBM,0.0045,0.5,Herm,1.0
0,DSBM_PA,0.0045,0.5,DiSim,0.3126615588919859
0,DSBM_PA,0.0045,0.5,Herm,0.2809212208154956
0,DSBM,0.0045,0.6000000000000001,DiSim,1.0
0,DSBM,0.0045,0.6000000000000001,Herm,0.9994999937625049
0,DSBM_PA,0.0045,0.6000000000000001,DiSim,0.5171969714472109
0,DSBM_PA,0.0045,0.6000000000000001,Herm,0.3028774476776272
0,DSBM,0.0045,0.7000000000000001,DiSim,1.0
0,DSBM,0.0045,0.7000000000000001,Herm,0.9641586609063308
0,DSBM_PA,0.0045,0.7000000000000001,DiSim,0.5648129147641637
0,DSBM_PA,0.0045,0.7000000000000001,Herm,0.2429478421160632
0,DSBM,0.0045,0.8,DiSim,1.0
0,DSBM,0.0045,0.8,Herm,0.5221654309852506
0,DSBM_PA,0.0045,0.8,DiSim,0.5791475478879533
0,DSBM_PA,0.0045,0.8,Herm,0.2302963403988044
0,DSBM,0.0045,0.9,DiSim,1.0
0,DSBM,0.0045,0.9,Herm,0.014747732342336053
0,DSBM_PA,0.0045,0.9,DiSim,0.5986470226012942
0,DSBM_PA,0.0045,0.9,Herm,0.2498543502993589
0,DSBM,0.0045,0.0,DiSim,0.9991250907082224
0,DSBM,0.0045,0.0,Herm,1.0
0,DSBM_PA,0.0045,0.0,DiSim,0.5623683539636999
0,DSBM_PA,0.0045,0.0,Herm,0.49282921730753676
0,DSBM,0.0045,0.1,DiSim,0.9471674433779937
0,DSBM,0.0045,0.1,Herm,1.0
0,DSBM_PA,0.0045,0.1,DiSim,0.3967143016511574
0,DSBM_PA,0.0045,0.1,Herm,0.4495175600787504
0,DSBM,0.0045,0.2,DiSim,0.91637786743518
0,DSBM,0.0045,0.2,Herm,1.0
0,DSBM_PA,0.0045,0.2,DiSim,0.39991694815068873
0,DSBM_PA,0.0045,0.2,Herm,0.4018332728003892
0,DSBM,0.0045,0.30000000000000004,DiSim,0.9971303500419283
0,DSBM,0.0045,0.30000000000000004,Herm,1.0
0,DSBM_PA,0.0045,0.30000000000000004,DiSim,0.33453847497059375
0,DSBM_PA,0.0045,0.30000000000000004,Herm,0.37444609181214483
0,DSBM,0.0045,0.4,DiSim,1.0
0,DSBM,0.0045,0.4,Herm,1.0
0,DSBM_PA,0.0045,0.4,DiSim,0.3204809194566054
0,DSBM_PA,0.0045,0.4,Herm,0.32129976179852293
0,DSBM,0.0045,0.5,DiSim,1.0
0,DSBM,0.0045,0.5,Herm,1.0
0,DSBM_PA,0.0045,0.5,DiSim,0.3126615588919859
0,DSBM_PA,0.0045,0.5,Herm,0.2809212208154956
0,DSBM,0.0045,0.6000000000000001,DiSim,1.0
0,DSBM,0.0045,0.6000000000000001,Herm,0.9994999937625049
0,DSBM_PA,0.0045,0.6000000000000001,DiSim,0.5171969714472109
0,DSBM_PA,0.0045,0.6000000000000001,Herm,0.3028774476776272
0,DSBM,0.0045,0.7000000000000001,DiSim,1.0
0,DSBM,0.0045,0.7000000000000001,Herm,0.9641586609063308
0,DSBM_PA,0.0045,0.7000000000000001,DiSim,0.5648129147641637
0,DSBM_PA,0.0045,0.7000000000000001,Herm,0.2429478421160632
0,DSBM,0.0045,0.8,DiSim,1.0
0,DSBM,0.0045,0.8,Herm,0.5221654309852506
0,DSBM_PA,0.0045,0.8,DiSim,0.5791475478879533
0,DSBM_PA,0.0045,0.8,Herm,0.2302963403988044
0,DSBM,0.0045,0.9,DiSim,1.0
0,DSBM,0.0045,0.9,Herm,0.014747732342336053
0,DSBM_PA,0.0045,0.9,DiSim,0.5986715185704405
0,DSBM_PA,0.0045,0.9,Herm,0.2498543502993589
