,p,noise,tau,algorithm,ari
0,0.003,0.0,3,Herm,0.0059160008879133264
0,0.006,0.0,0.1,DiSim,0.2833039094169888
0,0.006,0.0,0.1,Herm,0.5792424844547076
0,0.006,0.0,0.4,DiSim,0.2835359339722385
0,0.006,0.0,0.4,Herm,0.2624280159885152
0,0.006,0.0,0.75,DiSim,0.28355296488792425
0,0.006,0.0,0.75,Herm,0.00888080172461231
0,0.006,0.0,0.85,DiSim,0.2833049176807293
0,0.006,0.0,0.85,Herm,0.006986336658456871
0,0.006,0.0,1,DiSim,0.28331110740097243
0,0.006,0.0,1,Herm,0.0059088022835296836
0,0.006,0.0,1.15,DiSim,0.28345125730582327
0,0.006,0.0,1.15,Herm,0.005517714802102681
0,0.006,0.0,1.25,DiSim,0.28334165369634345
0,0.006,0.0,1.25,Herm,0.005616926699466977
0,0.006,0.0,1.6,DiSim,0.28333535119134373
0,0.006,0.0,1.6,Herm,0.004764596026892303
0,0.006,0.0,2,DiSim,0.28333535119134373
0,0.006,0.0,2,Herm,0.00436116074139963
0,0.006,0.0,3,DiSim,0.28354345407681225
0,0.006,0.0,3,Herm,0.004650351031480474
0,0.003,0.15,0.1,DiSim,0.0005577044466243509
0,0.003,0.15,0.1,Herm,0.0008840332439907395
0,0.003,0.15,0.4,DiSim,0.0006927433294486005
0,0.003,0.15,0.4,Herm,0.0007166482612769844
0,0.003,0.15,0.75,DiSim,0.0007475497752047574
0,0.003,0.15,0.75,Herm,0.0006004284343211653
0,0.003,0.15,0.85,DiSim,0.0007529838072383207
0,0.003,0.15,0.85,Herm,0.0006019944973260478
0,0.003,0.15,1,DiSim,0.0005745444073575927
0,0.003,0.15,1,Herm,0.00052432045912671
0,0.003,0.15,1.15,DiSim,0.0006432095579173271
0,0.003,0.15,1.15,Herm,0.0003455077111402782
0,0.003,0.15,1.25,DiSim,0.0006560037740385655
0,0.003,0.15,1.25,Herm,0.00035250110029600947
0,0.003,0.15,1.6,DiSim,0.0007454595538137512
0,0.003,0.15,1.6,Herm,0.0004750832845823383
0,0.003,0.15,2,DiSim,0.0006122051013587738
0,0.003,0.15,2,Herm,0.0004423243887752693
0,0.003,0.15,3,DiSim,0.0005855062099825479
0,0.003,0.15,3,Herm,0.000553361916436359
0,0.006,0.15,0.1,DiSim,0.00026185411695125023
0,0.006,0.15,0.1,Herm,0.001440348292803164
0,0.006,0.15,0.4,DiSim,0.0002631161411311181
0,0.006,0.15,0.4,Herm,0.0014648023322602326
0,0.006,0.15,0.75,DiSim,0.00028711631461481436
0,0.006,0.15,0.75,Herm,0.0014401173531354491
0,0.006,0.15,0.85,DiSim,0.00026463557934522445
0,0.006,0.15,0.85,Herm,0.0013408625864168113
0,0.006,0.15,1,DiSim,0.00026185411695125023
0,0.006,0.15,1,Herm,0.0012044852640368808
0,0.006,0.15,1.15,DiSim,0.0002631161411311181
0,0.006,0.15,1.15,Herm,0.0012272392780896962
0,0.006,0.15,1.25,DiSim,0.0002659705273373107
0,0.006,0.15,1.25,Herm,0.0013647205162088322
0,0.006,0.15,1.6,DiSim,0.00027220524386949873
0,0.006,0.15,1.6,Herm,0.0013844331081071025
0,0.006,0.15,2,DiSim,0.0002702876353881087
0,0.006,0.15,2,Herm,0.0011687697790832665
0,0.006,0.15,3,DiSim,0.00026185411695125023
0,0.006,0.15,3,Herm,0.0011331792878291843
0,0.003,0.0,0.1,DiSim,0.13846779569761922
0,0.003,0.0,0.1,Herm,0.4197930165166425
0,0.003,0.0,0.4,DiSim,0.13863740073434996
0,0.003,0.0,0.4,Herm,0.33427743630363205
0,0.003,0.0,0.75,DiSim,0.13846779569761922
0,0.003,0.0,0.75,Herm,0.07320405701303924
0,0.003,0.0,0.85,DiSim,0.13852137841909265
0,0.003,0.0,0.85,Herm,0.02905747438073536
0,0.003,0.0,1,DiSim,0.1385144590658143
0,0.003,0.0,1,Herm,0.021080937816200657
0,0.003,0.0,1.15,DiSim,0.1385144590658143
0,0.003,0.0,1.15,Herm,0.018205007650995874
0,0.003,0.0,1.25,DiSim,0.13850896849199784
0,0.003,0.0,1.25,Herm,0.01759210057731174
0,0.003,0.0,1.6,DiSim,0.13846779569761922
0,0.003,0.0,1.6,Herm,0.01522365567354624
0,0.003,0.0,2,DiSim,0.1385144590658143
0,0.003,0.0,2,Herm,0.014444300768866608
0,0.003,0.0,3,DiSim,0.13848068629198146
0,0.003,0.0,3,Herm,0.013301882608627583
0,0.006,0.0,0.1,DiSim,0.26409699925454105
0,0.006,0.0,0.1,Herm,0.5556647282945053
