,model,p,noise,algorithm,ari
0,DSBM_PA,0.008,0.35,Herm,-8.880481306597015e-05
0,DSBM,0.002,0.0,DiSim,0.3203579126262071
0,DSBM,0.002,0.0,Herm,0.9348036287446082
0,DSBM_PA,0.002,0.0,DiSim,0.00011885961638763843
0,DSBM_PA,0.002,0.0,Herm,0.0063359294886226585
0,DSBM,0.004,0.0,DiSim,0.9198969344972143
0,DSBM,0.004,0.0,Herm,0.9985005910234453
0,DSBM_PA,0.004,0.0,DiSim,0.0006280923077209408
0,DSBM_PA,0.004,0.0,Herm,0.030214325191760583
0,DSBM,0.006,0.0,DiSim,0.9900278815986064
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.02781011096339426
0,DSBM_PA,0.006,0.0,Herm,0.008158673945373483
0,DSBM,0.008,0.0,DiSim,0.99862545956916
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.12194024020487101
0,DSBM_PA,0.008,0.0,Herm,0.019348492620813795
0,DSBM,0.002,0.0875,DiSim,0.1475963440549929
0,DSBM,0.002,0.0875,Herm,0.7208757020335333
0,DSBM_PA,0.002,0.0875,DiSim,8.02713282026277e-05
0,DSBM_PA,0.002,0.0875,Herm,0.00023068204848079946
0,DSBM,0.004,0.0875,DiSim,0.7043220596225418
0,DSBM,0.004,0.0875,Herm,0.9807333951369663
0,DSBM_PA,0.004,0.0875,DiSim,0.00011895068102041472
0,DSBM_PA,0.004,0.0875,Herm,-5.136653026981848e-05
0,DSBM,0.006,0.0875,DiSim,0.9317199887243498
0,DSBM,0.006,0.0875,Herm,0.9988753219597803
0,DSBM_PA,0.006,0.0875,DiSim,-5.4696588851819444e-05
0,DSBM_PA,0.006,0.0875,Herm,0.00019441483148186124
0,DSBM,0.008,0.0875,DiSim,0.9820911915763392
0,DSBM,0.008,0.0875,Herm,0.9996249875007822
0,DSBM_PA,0.008,0.0875,DiSim,0.000587338609767304
0,DSBM_PA,0.008,0.0875,Herm,0.00025862231026189454
0,DSBM,0.002,0.175,DiSim,0.04627912469730382
0,DSBM,0.002,0.175,Herm,0.2440628255952284
0,DSBM_PA,0.002,0.175,DiSim,-6.193752200546122e-05
0,DSBM_PA,0.002,0.175,Herm,5.299089129343638e-06
0,DSBM,0.004,0.175,DiSim,0.2219866366206135
0,DSBM,0.004,0.175,Herm,0.8521609220062483
0,DSBM_PA,0.004,0.175,DiSim,-8.043251710174382e-05
0,DSBM_PA,0.004,0.175,Herm,-7.381151261807282e-05
0,DSBM,0.006,0.175,DiSim,0.6413501386896253
0,DSBM,0.006,0.175,Herm,0.9753100776298126
0,DSBM_PA,0.006,0.175,DiSim,7.06272097024176e-05
0,DSBM_PA,0.006,0.175,Herm,5.995640366815952e-05
0,DSBM,0.008,0.175,DiSim,0.8561837102375542
0,DSBM,0.008,0.175,Herm,0.9945081368228256
0,DSBM_PA,0.008,0.175,DiSim,8.254403430964851e-05
0,DSBM_PA,0.008,0.175,Herm,2.7579969739669887e-05
0,DSBM,0.002,0.26249999999999996,DiSim,0.0009662166726510746
0,DSBM,0.002,0.26249999999999996,Herm,0.06170262330409052
0,DSBM_PA,0.002,0.26249999999999996,DiSim,1.4849661114390708e-05
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.00016720655340223334
0,DSBM,0.004,0.26249999999999996,DiSim,0.055979785416082804
0,DSBM,0.004,0.26249999999999996,Herm,0.24227499690591514
0,DSBM_PA,0.004,0.26249999999999996,DiSim,0.00016155850313111258
0,DSBM_PA,0.004,0.26249999999999996,Herm,1.9523950559074466e-05
0,DSBM,0.006,0.26249999999999996,DiSim,0.14821665780205406
0,DSBM,0.006,0.26249999999999996,Herm,0.70279922997362
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-5.0732041555186424e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,-5.105075355509562e-05
0,DSBM,0.008,0.26249999999999996,DiSim,0.2629337641098898
0,DSBM,0.008,0.26249999999999996,Herm,0.8946170960741708
0,DSBM_PA,0.008,0.26249999999999996,DiSim,-5.825370127646254e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,-6.442676977673924e-05
0,DSBM,0.002,0.35,DiSim,3.4449233293470325e-05
0,DSBM,0.002,0.35,Herm,0.0006708197780735988
0,DSBM_PA,0.002,0.35,DiSim,-9.014486490826355e-05
0,DSBM_PA,0.002,0.35,Herm,2.092718038685548e-05
0,DSBM,0.004,0.35,DiSim,0.00018002433123483672
0,DSBM,0.004,0.35,Herm,0.008059684564158613
0,DSBM_PA,0.004,0.35,DiSim,-1.4139218516262393e-05
0,DSBM_PA,0.004,0.35,Herm,-0.00012673909619951649
0,DSBM,0.006,0.35,DiSim,0.0013695803989737924
0,DSBM,0.006,0.35,Herm,0.09885221341335074
0,DSBM_PA,0.006,0.35,DiSim,5.838825118973208e-05
0,DSBM_PA,0.006,0.35,Herm,6.0477427033362065e-05
0,DSBM,0.008,0.35,DiSim,0.01358101486941662
0,DSBM,0.008,0.35,Herm,0.15233376957772518
0,DSBM_PA,0.008,0.35,DiSim,-1.6965206036167868e-05
0,DSBM_PA,0.008,0.35,Herm,5.6720918748220927e-05
0,DSBM,0.002,0.0,DiSim,0.3203579126262071
0,DSBM,0.002,0.0,Herm,0.9348036287446082
0,DSBM_PA,0.002,0.0,DiSim,0.00011885961638763843
0,DSBM_PA,0.002,0.0,Herm,0.0063359294886226585
0,DSBM,0.004,0.0,DiSim,0.9198969344972143
0,DSBM,0.004,0.0,Herm,0.9985005910234453
0,DSBM_PA,0.004,0.0,DiSim,0.0006280923077209408
0,DSBM_PA,0.004,0.0,Herm,0.030214325191760583
0,DSBM,0.006,0.0,DiSim,0.9900278815986064
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.02783060819776021
0,DSBM_PA,0.006,0.0,Herm,0.008158673945373483
0,DSBM,0.008,0.0,DiSim,0.99862545956916
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.1217509186355674
0,DSBM_PA,0.008,0.0,Herm,0.019348492620813795
0,DSBM,0.002,0.0875,DiSim,0.1475963440549929
0,DSBM,0.002,0.0875,Herm,0.7208757020335333
0,DSBM_PA,0.002,0.0875,DiSim,8.02713282026277e-05
0,DSBM_PA,0.002,0.0875,Herm,0.00023068204848079946
0,DSBM,0.004,0.0875,DiSim,0.7043220596225418
0,DSBM,0.004,0.0875,Herm,0.9807333951369663
0,DSBM_PA,0.004,0.0875,DiSim,0.00011736026922360022
0,DSBM_PA,0.004,0.0875,Herm,-5.136653026981848e-05
0,DSBM,0.006,0.0875,DiSim,0.9317199887243498
0,DSBM,0.006,0.0875,Herm,0.9988753219597803
0,DSBM_PA,0.006,0.0875,DiSim,-6.751524657592682e-05
0,DSBM_PA,0.006,0.0875,Herm,0.00019441483148186124
0,DSBM,0.008,0.0875,DiSim,0.9820911915763392
0,DSBM,0.008,0.0875,Herm,0.9996249875007822
0,DSBM_PA,0.008,0.0875,DiSim,0.0005846978261961622
0,DSBM_PA,0.008,0.0875,Herm,0.00025862231026189454
0,DSBM,0.002,0.175,DiSim,0.04627912469730382
0,DSBM,0.002,0.175,Herm,0.2440628255952284
0,DSBM_PA,0.002,0.175,DiSim,-6.193752200546122e-05
