,model,average_edge_probability,percentage_intra_edges,r,ari
0,DSBM_PA,0.0045,0.9,10,0.13314381422105726
0,DSBM,0.0045,0.0,1,1.0
0,DSBM,0.0045,0.0,2,1.0
0,DSBM,0.0045,0.0,3,1.0
0,DSBM,0.0045,0.0,4,0.9998749906230465
0,DSBM,0.0045,0.0,5,1.0
0,DSBM,0.0045,0.0,6,1.0
0,DSBM,0.0045,0.0,7,1.0
0,DSBM,0.0045,0.0,8,1.0
0,DSBM,0.0045,0.0,9,1.0
0,DSBM,0.0045,0.0,10,1.0
0,DSBM_PA,0.0045,0.0,1,0.5464773827498827
0,DSBM_PA,0.0045,0.0,2,0.5464416647358045
0,DSBM_PA,0.0045,0.0,3,0.5464773827498827
0,DSBM_PA,0.0045,0.0,4,0.5464773827498827
0,DSBM_PA,0.0045,0.0,5,0.5464773827498827
0,DSBM_PA,0.0045,0.0,6,0.5464773827498827
0,DSBM_PA,0.0045,0.0,7,0.5464773827498827
0,DSBM_PA,0.0045,0.0,8,0.5464773827498827
0,DSBM_PA,0.0045,0.0,9,0.5464773827498827
0,DSBM_PA,0.0045,0.0,10,0.5464773827498827
0,DSBM,0.0045,0.225,1,0.9961317585060264
0,DSBM,0.0045,0.225,2,0.74898119005511
0,DSBM,0.0045,0.225,3,0.6528920802373396
0,DSBM,0.0045,0.225,4,0.2144493619037548
0,DSBM,0.0045,0.225,5,0.002490192167394625
0,DSBM,0.0045,0.225,6,0.00045004810959869897
0,DSBM,0.0045,0.225,7,0.0001890463605137562
0,DSBM,0.0045,0.225,8,0.00047309463496488543
0,DSBM,0.0045,0.225,9,0.0015576833727743837
0,DSBM,0.0045,0.225,10,0.0004103536698271502
0,DSBM_PA,0.0045,0.225,1,0.48818702259522173
0,DSBM_PA,0.0045,0.225,2,0.48818702259522173
0,DSBM_PA,0.0045,0.225,3,0.48818702259522173
0,DSBM_PA,0.0045,0.225,4,0.4880862608048637
0,DSBM_PA,0.0045,0.225,5,0.4880317672469061
0,DSBM_PA,0.0045,0.225,6,0.4879851158241789
0,DSBM_PA,0.0045,0.225,7,0.48813925669783037
0,DSBM_PA,0.0045,0.225,8,0.48823999042955096
0,DSBM_PA,0.0045,0.225,9,0.4880862608048637
0,DSBM_PA,0.0045,0.225,10,0.48808478201235084
0,DSBM,0.0045,0.45,1,0.9996250344027411
0,DSBM,0.0045,0.45,2,1.0
0,DSBM,0.0045,0.45,3,1.0
0,DSBM,0.0045,0.45,4,1.0
0,DSBM,0.0045,0.45,5,1.0
0,DSBM,0.0045,0.45,6,1.0
0,DSBM,0.0045,0.45,7,1.0
0,DSBM,0.0045,0.45,8,1.0
0,DSBM,0.0045,0.45,9,1.0
0,DSBM,0.0045,0.45,10,1.0
0,DSBM_PA,0.0045,0.45,1,0.37272858186940905
0,DSBM_PA,0.0045,0.45,2,0.3727094266064993
0,DSBM_PA,0.0045,0.45,3,0.3725933554883649
0,DSBM_PA,0.0045,0.45,4,0.37262859769084317
0,DSBM_PA,0.0045,0.45,5,0.3727094266064993
0,DSBM_PA,0.0045,0.45,6,0.3728440198083655
0,DSBM_PA,0.0045,0.45,7,0.3727094266064993
0,DSBM_PA,0.0045,0.45,8,0.3727119947277732
0,DSBM_PA,0.0045,0.45,9,0.3727094266064993
0,DSBM_PA,0.0045,0.45,10,0.3727729953282062
0,DSBM,0.0045,0.675,1,1.0
0,DSBM,0.0045,0.675,2,1.0
0,DSBM,0.0045,0.675,3,1.0
0,DSBM,0.0045,0.675,4,1.0
0,DSBM,0.0045,0.675,5,1.0
0,DSBM,0.0045,0.675,6,1.0
0,DSBM,0.0045,0.675,7,1.0
0,DSBM,0.0045,0.675,8,1.0
0,DSBM,0.0045,0.675,9,1.0
0,DSBM,0.0045,0.675,10,1.0
0,DSBM_PA,0.0045,0.675,1,0.13927620052767226
0,DSBM_PA,0.0045,0.675,2,0.13927620052767226
0,DSBM_PA,0.0045,0.675,3,0.13927620052767226
0,DSBM_PA,0.0045,0.675,4,0.13927620052767226
0,DSBM_PA,0.0045,0.675,5,0.13927620052767226
0,DSBM_PA,0.0045,0.675,6,0.139375674229061
0,DSBM_PA,0.0045,0.675,7,0.13927620052767226
0,DSBM_PA,0.0045,0.675,8,0.13928819060496977
0,DSBM_PA,0.0045,0.675,9,0.13927620052767226
0,DSBM_PA,0.0045,0.675,10,0.13927620052767226
0,DSBM,0.0045,0.9,1,1.0
0,DSBM,0.0045,0.9,2,1.0
0,DSBM,0.0045,0.9,3,1.0
0,DSBM,0.0045,0.9,4,1.0
0,DSBM,0.0045,0.9,5,1.0
0,DSBM,0.0045,0.9,6,1.0
0,DSBM,0.0045,0.9,7,1.0
0,DSBM,0.0045,0.9,8,1.0
0,DSBM,0.0045,0.9,9,1.0
0,DSBM,0.0045,0.9,10,1.0
0,DSBM_PA,0.0045,0.9,1,0.1332971706826309
0,DSBM_PA,0.0045,0.9,2,0.1332971706826309
0,DSBM_PA,0.0045,0.9,3,0.1332971706826309
0,DSBM_PA,0.0045,0.9,4,0.1332971706826309
0,DSBM_PA,0.0045,0.9,5,0.1332971706826309
0,DSBM_PA,0.0045,0.9,6,0.1332971706826309
0,DSBM_PA,0.0045,0.9,7,0.1332971706826309
0,DSBM_PA,0.0045,0.9,8,0.1332971706826309
0,DSBM_PA,0.0045,0.9,9,0.1332971706826309
0,DSBM_PA,0.0045,0.9,10,0.1332971706826309
0,DSBM,0.0045,0.0,1,1.0
0,DSBM,0.0045,0.0,2,1.0
0,DSBM,0.0045,0.0,3,0.9992501782164194
0,DSBM,0.0045,0.0,4,1.0
0,DSBM,0.0045,0.0,5,1.0
0,DSBM,0.0045,0.0,6,1.0
0,DSBM,0.0045,0.0,7,1.0
0,DSBM,0.0045,0.0,8,1.0
0,DSBM,0.0045,0.0,9,1.0
0,DSBM,0.0045,0.0,10,1.0
0,DSBM_PA,0.0045,0.0,1,0.5668302318884018
0,DSBM_PA,0.0045,0.0,2,0.5671058750788915
0,DSBM_PA,0.0045,0.0,3,0.5671058750788915
0,DSBM_PA,0.0045,0.0,4,0.5668302318884018
0,DSBM_PA,0.0045,0.0,5,0.5669680303984017
0,DSBM_PA,0.0045,0.0,6,0.5668302318884018
0,DSBM_PA,0.0045,0.0,7,0.5664171133891113
0,DSBM_PA,0.0045,0.0,8,0.5669680303984017
0,DSBM_PA,0.0045,0.0,9,0.5669680303984017
0,DSBM_PA,0.0045,0.0,10,0.5664171133891113
0,DSBM,0.0045,0.225,1,0.9897306214066449
0,DSBM,0.0045,0.225,2,0.7229918784303085
0,DSBM,0.0045,0.225,3,0.16809466452560648
0,DSBM,0.0045,0.225,4,0.0004923828934882459
0,DSBM,0.0045,0.225,5,0.0007925295759662239
0,DSBM,0.0045,0.225,6,0.000866227340062389
0,DSBM,0.0045,0.225,7,0.0009651946345674966
0,DSBM,0.0045,0.225,8,0.0012704069387843245
0,DSBM,0.0045,0.225,9,-4.253887090880586e-05
0,DSBM,0.0045,0.225,10,-3.4224940362928025e-05
0,DSBM_PA,0.0045,0.225,1,0.5416839562667585
0,DSBM_PA,0.0045,0.225,2,0.5416839562667585
0,DSBM_PA,0.0045,0.225,3,0.5416839562667585
0,DSBM_PA,0.0045,0.225,4,0.5416839562667585
