,c,k,noise,tau,algorithm,ari
0,60,5,0.15,1.15,DiSim,0.6954797243316474
0,60,5,0.15,1.15,Herm,0.738655684640193
0,60,5,0.15,1.25,DiSim,0.6954797243316474
0,60,5,0.15,1.25,Herm,0.7400789274406531
0,60,5,0.15,1.6,DiSim,0.6954797243316474
0,60,5,0.15,1.6,Herm,0.7410123175703381
0,60,5,0.15,2,DiSim,0.6954797243316474
0,60,5,0.15,2,Herm,0.7396025847260596
0,60,5,0.15,3,DiSim,0.6954797243316474
0,60,5,0.15,3,Herm,0.7395077458612253
0,20,3,0.0,0.1,DiSim,0.816749283867283
0,20,3,0.0,0.1,Herm,0.00026056669553012725
0,20,3,0.0,0.4,DiSim,0.816749283867283
0,20,3,0.0,0.4,Herm,0.0008133129095883066
0,20,3,0.0,0.75,DiSim,0.816749283867283
0,20,3,0.0,0.75,Herm,0.001067317303387624
0,20,3,0.0,0.85,DiSim,0.816749283867283
0,20,3,0.0,0.85,Herm,0.001204258805995061
0,20,3,0.0,1,DiSim,0.816749283867283
0,20,3,0.0,1,Herm,0.0008006072580161716
0,20,3,0.0,1.15,DiSim,0.816749283867283
0,20,3,0.0,1.15,Herm,0.0005110748099252095
0,20,3,0.0,1.25,DiSim,0.816749283867283
0,20,3,0.0,1.25,Herm,0.0005713533888824996
0,20,3,0.0,1.6,DiSim,0.816749283867283
0,20,3,0.0,1.6,Herm,0.00024024121147421754
0,20,3,0.0,2,DiSim,0.816749283867283
0,20,3,0.0,2,Herm,0.00013164049209535284
0,20,3,0.0,3,DiSim,0.816749283867283
0,20,3,0.0,3,Herm,0.0004118208149929695
0,60,3,0.0,0.1,DiSim,0.9262483181174191
0,60,3,0.0,0.1,Herm,0.0009834334706186351
0,60,3,0.0,0.4,DiSim,0.9262483181174191
0,60,3,0.0,0.4,Herm,0.0003059756977417397
0,60,3,0.0,0.75,DiSim,0.9262483181174191
0,60,3,0.0,0.75,Herm,0.0004079447814338878
0,60,3,0.0,0.85,DiSim,0.9262483181174191
0,60,3,0.0,0.85,Herm,0.000459088835518061
0,60,3,0.0,1,DiSim,0.9262483181174191
0,60,3,0.0,1,Herm,0.00034980422062482445
0,60,3,0.0,1.15,DiSim,0.9262483181174191
0,60,3,0.0,1.15,Herm,0.00021534037026672256
0,60,3,0.0,1.25,DiSim,0.9262483181174191
0,60,3,0.0,1.25,Herm,0.00018910745747586358
0,60,3,0.0,1.6,DiSim,0.9262483181174191
0,60,3,0.0,1.6,Herm,0.00011166641476380036
0,60,3,0.0,2,DiSim,0.9262483181174191
0,60,3,0.0,2,Herm,0.00021968362403261037
0,60,3,0.0,3,DiSim,0.9262483181174191
0,60,3,0.0,3,Herm,0.0002900836242953329
