,c,k,noise,omega,algorithm,ari
0,60,3,0.15,0.00075,DiSim,0.46314193201861814
0,60,3,0.15,0.00075,Herm,0.9875526637096158
0,60,3,0.15,0.001,DiSim,0.4536453495469669
0,60,3,0.15,0.001,Herm,0.9880478922255601
0,60,3,0.15,0.00125,DiSim,0.4435814032635743
0,60,3,0.15,0.00125,Herm,0.9875526637096158
0,60,3,0.15,0.0015,DiSim,0.8952084588424606
0,60,3,0.15,0.0015,Herm,0.9875526637096158
0,60,3,0.15,0.00175,DiSim,0.8797655636538289
0,60,3,0.15,0.00175,Herm,0.9875526637096158
0,60,3,0.15,0.002,DiSim,0.8960722257859846
0,60,3,0.15,0.002,Herm,0.9875526637096158
0,20,5,0.15,0.0,DiSim,0.5608349468460536
0,20,5,0.15,0.0,Herm,0.931385519981482
0,20,5,0.15,0.00025,DiSim,0.6190226747073139
0,20,5,0.15,0.00025,Herm,0.9154981186863649
0,20,5,0.15,0.0005,DiSim,0.5551801431554121
0,20,5,0.15,0.0005,Herm,0.9133349394480287
0,20,5,0.15,0.00075,DiSim,0.43984606646641633
0,20,5,0.15,0.00075,Herm,0.914100786215397
0,20,5,0.15,0.001,DiSim,0.39717815680918905
0,20,5,0.15,0.001,Herm,0.9152903644487214
0,20,5,0.15,0.00125,DiSim,0.36047474917413036
0,20,5,0.15,0.00125,Herm,0.9208606601989144
0,20,5,0.15,0.0015,DiSim,0.3351691998130072
0,20,5,0.15,0.0015,Herm,0.918013521840958
0,20,5,0.15,0.00175,DiSim,0.3123945147483604
0,20,5,0.15,0.00175,Herm,0.9160679993373403
0,20,5,0.15,0.002,DiSim,0.29356559786566777
0,20,5,0.15,0.002,Herm,0.9122747211196958
0,60,5,0.15,0.0,DiSim,0.6910546330005227
0,60,5,0.15,0.0,Herm,0.987499421310114
0,60,5,0.15,0.00025,DiSim,0.6928179472715046
0,60,5,0.15,0.00025,Herm,0.9892470028621476
0,60,5,0.15,0.0005,DiSim,0.7958908434006245
0,60,5,0.15,0.0005,Herm,0.9872506049223589
0,60,5,0.15,0.00075,DiSim,0.8616387235376574
0,60,5,0.15,0.00075,Herm,0.9892483152179046
0,60,5,0.15,0.001,DiSim,0.8824902607493563
0,60,5,0.15,0.001,Herm,0.9867578581252114
0,60,5,0.15,0.00125,DiSim,0.8536459202300364
0,60,5,0.15,0.00125,Herm,0.9870046306520857
0,60,5,0.15,0.0015,DiSim,0.8294154481056082
0,60,5,0.15,0.0015,Herm,0.9867560032414844
0,60,5,0.15,0.00175,DiSim,0.8034456830336816
0,60,5,0.15,0.00175,Herm,0.9875031883830179
0,60,5,0.15,0.002,DiSim,0.7902853103250544
0,60,5,0.15,0.002,Herm,0.9865092307180919
0,20,3,0.0,0.0,DiSim,0.8038092752406819
0,20,3,0.0,0.0,Herm,0.9761471056647971
0,20,3,0.0,0.00025,DiSim,0.8014759717699679
0,20,3,0.0,0.00025,Herm,0.9756473775798444
0,20,3,0.0,0.0005,DiSim,0.7875082792819753
0,20,3,0.0,0.0005,Herm,0.9756475382965686
0,20,3,0.0,0.00075,DiSim,0.7754317413297898
0,20,3,0.0,0.00075,Herm,0.9736769073996795
0,20,3,0.0,0.001,DiSim,0.7565248699870731
0,20,3,0.0,0.001,Herm,0.9717041519356376
0,20,3,0.0,0.00125,DiSim,0.740497413127762
0,20,3,0.0,0.00125,Herm,0.9712143922970169
0,20,3,0.0,0.0015,DiSim,0.7108633429954031
0,20,3,0.0,0.0015,Herm,0.9692347760253661
0,20,3,0.0,0.00175,DiSim,0.6966146206688405
0,20,3,0.0,0.00175,Herm,0.969239083628732
0,20,3,0.0,0.002,DiSim,0.6538554014002822
0,20,3,0.0,0.002,Herm,0.9672779152215456
0,60,3,0.0,0.0,DiSim,0.9449319258301965
0,60,3,0.0,0.0,Herm,0.9985021364330616
0,60,3,0.0,0.00025,DiSim,0.9384918035205198
